1,清华大学,北京,94.0 
2,北京大学,北京,81.2 
3,浙江大学,浙江,77.8 
4,上海交通大学,上海,77.5 
5,复旦大学,上海,71.1 
6,中国科学技术大学,安徽,65.9 
7,南京大学,江苏,65.3 
8,华中科技大学,湖北,63.0 
9,中山大学,广东,62.7 
10,哈尔滨工业大学,黑龙江,61.6 
11,同济大学,上海,60.8 
12,东南大学,江苏,59.8 
13,武汉大学,湖北,58.4 
14,北京航空航天大学,北京,58.3 
15,南开大学,天津,58.2 
16,四川大学,四川,57.4 
16,西安交通大学,陕西,57.4 
18,天津大学,天津,56.2 
19,华南理工大学,广东,56.1 
20,北京师范大学,北京,55.1 
21,厦门大学,福建,55.0 
22,山东大学,山东,54.5 
23,大连理工大学,辽宁,54.1 
24,吉林大学,吉林,53.9 
25,北京理工大学,北京,53.1 
26,中南大学,湖南,52.4 
27,对外经济贸易大学,北京,51.9 
28,苏州大学,江苏,51.7 
28,中国人民大学,北京,51.7 
30,西北工业大学,陕西,51.1 
31,湖南大学,湖南,50.7 
32,华东理工大学,上海,50.0 
32,华东师范大学,上海,50.0 
34,电子科技大学,四川,49.4 
35,重庆大学,重庆,49.3 
36,南京航空航天大学,江苏,49.1 
37,北京科技大学,北京,48.9 
38,上海财经大学,上海,48.8 
39,南京理工大学,江苏,48.0 
39,中国农业大学,北京,48.0 
41,北京交通大学,北京,47.4 
42,北京化工大学,北京,47.1 
42,首都医科大学,北京,47.1 
44,福州大学,福建,46.7 
44,武汉理工大学,湖北,46.7 
44,中央财经大学,北京,46.7 
47,北京邮电大学,北京,46.6 
47,东华大学,上海,46.6 
47,华中师范大学,湖北,46.6 
50,上海大学,上海,46.5 
51,西安电子科技大学,陕西,46.2 
52,北京协和医学院,北京,45.9 
53,天津医科大学,天津,45.7 
54,华北电力大学,北京,45.5 
55,东北大学,辽宁,45.3 
55,东北师范大学,吉林,45.3 
57,暨南大学,广东,45.2 
58,兰州大学,甘肃,45.0 
59,江南大学,江苏,44.8 
59,南京医科大学,江苏,44.8 
61,中国海洋大学,山东,44.7 
62,上海外国语大学,上海,44.5 
63,中国地质大学（北京）,北京,44.3 
64,西南财经大学,四川,44.1 
65,中国地质大学（武汉）,湖北,44.0 
66,华中农业大学,湖北,43.9 
66,南方医科大学,广东,43.9 
68,合肥工业大学,安徽,43.6 
69,中国医科大学,辽宁,43.5 
70,西南大学,重庆,43.4 
71,南京农业大学,江苏,43.3 
71,中国药科大学,江苏,43.3 
71,中南财经政法大学,湖北,43.3 
74,哈尔滨工程大学,黑龙江,43.2 
74,中国石油大学（北京）,北京,43.2 
76,浙江工业大学,浙江,43.0 
77,东北财经大学,辽宁,42.9 
77,河海大学,江苏,42.9 
77,中国矿业大学,江苏,42.9 
80,北京工业大学,北京,42.8 
80,中国石油大学（华东）,山东,42.8 
82,广东外语外贸大学,广东,42.7 
83,南京师范大学,江苏,42.4 
84,中国政法大学,北京,42.3 
85,北京中医药大学,北京,42.0 
85,西南交通大学,四川,42.0 
87,华南师范大学,广东,41.9 
87,中国传媒大学,北京,41.9 
89,北京林业大学,北京,41.7 
89,江苏大学,江苏,41.7 
89,深圳大学,广东,41.7 
92,汕头大学,广东,41.6 
92,首都经济贸易大学,北京,41.6 
92,西北农林科技大学,陕西,41.6 
95,浙江师范大学,浙江,41.5 
96,安徽大学,安徽,41.3 
97,大连医科大学,辽宁,41.2 
97,浙江理工大学,浙江,41.2 
99,南京邮电大学,江苏,41.1 
100,华侨大学,福建,41.0 
100,宁波大学,浙江,41.0 
102,西北大学,陕西,40.8 
103,南京工业大学,江苏,40.7 
103,上海中医药大学,上海,40.7 
105,陕西师范大学,陕西,40.3 
105,首都师范大学,北京,40.3 
105,西交利物浦大学,江苏,40.3 
108,杭州电子科技大学,浙江,40.1 
109,杭州师范大学,浙江,40.0 
109,燕山大学,河北,40.0 
111,大连海事大学,辽宁,39.8 
111,河北工业大学,河北,39.8 
111,南京信息工程大学,江苏,39.8 
114,中央民族大学,北京,39.7 
115,沈阳药科大学,辽宁,39.6 
116,天津财经大学,天津,39.5 
117,哈尔滨医科大学,黑龙江,39.3 
